"player_id","name","height_in","weight","position"
"1629021","Moritz Wagner","83","245","Forward-Center"
"1631133","Jabari Walker","79","237","Forward"
"1641716","Jarace Walker","79","235","Forward"
"1629022","Lonnie Walker IV","76","204","Guard-Forward"
"1641717","Cason Wallace","75","195","Guard"
"1630811","Keaton Wallace","75","185","Guard"
"1641775","Jordan Walsh","78","205","Guard"
"1642266","Ja'Kobe Walter","77","180","Guard"
"1642276","Kel'el Ware","84","230","Center"
"1629023","P.J. Washington","78","230","Forward"
"1631102","TyTy Washington Jr.","75","195","Guard"
"1630322","Lindy Waters III","78","210","Forward"
"1630570","Trendon Watford","80","237","Guard-Forward"
"1641817","Anton Watson","80","225","Forward"
"1631212","Peyton Watson","79","200","Guard"
"1642377","Jaylen Wells","80","","Forward"
"1641705","Victor Wembanyama","87","235","Forward-Center"
"1631104","Blake Wesley","75","185","Guard"
"201566","Russell Westbrook","76","200","Guard"
"1629632","Coby White","77","195","Guard"
"1628401","Derrick White","76","190","Guard"
"1641727","Dariq Whitehead","78","220","Guard-Forward"
"1641715","Cam Whitmore","79","230","Forward"
"1630598","Aaron Wiggins","77","190","Guard"
"203952","Andrew Wiggins","79","197","Forward"
"1631214","Alondes Williams","76","210","Guard"
"1630314","Brandon Williams","73","190","Guard"
"1642262","Cody Williams","79","190","Forward"
"1629684","Grant Williams","78","236","Forward"
"1631114","Jalen Williams","77","211","Guard-Forward"
"1631119","Jaylin Williams","81","240","Forward"
"1629026","Kenrich Williams","78","210","Guard-Forward"
"1631109","Mark Williams","84","240","Center"
"1631466","Nate Williams","77","205","Guard"
"1630172","Patrick Williams","79","215","Forward"
"1630533","Ziaire Williams","81","185","Forward"
"1629057","Robert Williams III","81","249","Center-Forward"
"1631246","Vince Williams Jr.","76","205","Guard"
"1629627","Zion Williamson","78","284","Forward"
"1630592","Jalen Wilson","78","220","Forward"
"1630164","James Wiseman","83","240","Center"
"1631209","Isaiah Wong","75","185","Guard"
"1626153","Delon Wright","77","185","Guard"
"1627824","Guerschon Yabusele","80","265","Forward"
"1642385","Cui Yongxi","77","190","Forward"
"1642443","Jahmir Young","73","185","Guard"
"1629027","Trae Young","73","164","Guard"
"1627826","Ivica Zubac","84","240","Center"
"1641783","Tristan da Silva","80","217","Forward"
"1628427","Vlatko Čančar","80","236","Forward"
"203967","Dario Šarić","82","225","Forward-Center"
